GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
ERCOT_conventional_steam_coal_1,1977,1479.0,.
ERCOT_conventional_steam_coal_1,1978,1483.0,.
ERCOT_conventional_steam_coal_1,1980,1175.0,.
ERCOT_conventional_steam_coal_1,1982,1001.0,.
ERCOT_conventional_steam_coal_1,1979,1418.0,.
ERCOT_conventional_steam_coal_1,1988,440.0,.
ERCOT_conventional_steam_coal_1,2010,1640.0,.
ERCOT_conventional_steam_coal_1,2011,855.0,.
ERCOT_conventional_steam_coal_1,1990,153.0,.
ERCOT_conventional_steam_coal_1,1991,154.0,.
ERCOT_conventional_steam_coal_1,1992,560.0,.
ERCOT_conventional_steam_coal_1,2013,932.6,.
ERCOT_natural_gas_fired_combined_cycle_1,2010,912.5,.
ERCOT_natural_gas_fired_combined_cycle_1,1972,325.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2009,234.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1963,107.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1996,330.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1959,26.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2003,4580.9,.
ERCOT_natural_gas_fired_combined_cycle_1,2014,2455.2,.
ERCOT_natural_gas_fired_combined_cycle_1,1976,325.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2000,6546.8,.
ERCOT_natural_gas_fired_combined_cycle_1,2004,1802.1,.
ERCOT_natural_gas_fired_combined_cycle_1,1994,696.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1993,270.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2002,7041.8,.
ERCOT_natural_gas_fired_combined_cycle_1,1987,778.9,.
ERCOT_natural_gas_fired_combined_cycle_1,2023,244.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1982,378.1,.
ERCOT_natural_gas_fired_combined_cycle_1,2005,184.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1989,275.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1979,27.2,.
ERCOT_natural_gas_fired_combined_cycle_1,1951,7.6,.
ERCOT_natural_gas_fired_combined_cycle_1,1995,69.3,.
ERCOT_natural_gas_fired_combined_cycle_1,1986,456.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1985,207.5,.
ERCOT_natural_gas_fired_combined_cycle_1,1984,201.7,.
ERCOT_natural_gas_fired_combined_cycle_1,1983,106.5,.
ERCOT_natural_gas_fired_combined_cycle_1,1988,70.0,.
ERCOT_natural_gas_fired_combined_cycle_1,1998,260.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2001,3848.6,.
ERCOT_natural_gas_fired_combined_cycle_1,2006,640.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2011,685.1,.
ERCOT_natural_gas_fired_combined_cycle_1,1999,358.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2007,627.8,.
ERCOT_natural_gas_fired_combined_cycle_1,2008,201.1,.
ERCOT_natural_gas_fired_combined_cycle_1,2015,786.0,.
ERCOT_natural_gas_fired_combined_cycle_1,2025,1462.4,.
ERCOT_natural_gas_fired_combined_cycle_1,2017,2403.3,.
ERCOT_natural_gas_fired_combustion_turbine_1,2008,191.8,.
ERCOT_natural_gas_fired_combustion_turbine_1,1967,13.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1988,1037.7,.
ERCOT_natural_gas_fired_combustion_turbine_1,1990,501.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2004,460.2,.
ERCOT_natural_gas_fired_combustion_turbine_1,1975,21.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2001,460.8,.
ERCOT_natural_gas_fired_combustion_turbine_1,2010,569.7,.
ERCOT_natural_gas_fired_combustion_turbine_1,1994,208.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1985,38.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1989,222.8,.
ERCOT_natural_gas_fired_combustion_turbine_1,1991,8.399999999999999,.
ERCOT_natural_gas_fired_combustion_turbine_1,1996,8.399999999999999,.
ERCOT_natural_gas_fired_combustion_turbine_1,2014,93.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2016,93.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2015,522.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1977,96.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1997,467.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1987,164.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1986,2.8,.
ERCOT_natural_gas_fired_combustion_turbine_1,1984,84.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2000,164.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1969,12.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1995,177.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1978,65.9,.
ERCOT_natural_gas_fired_combustion_turbine_1,2025,320.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,1999,85.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2023,410.8,.
ERCOT_natural_gas_fired_combustion_turbine_1,2006,4.6,.
ERCOT_natural_gas_fired_combustion_turbine_1,2009,15.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2013,81.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2019,187.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2018,490.4,.
ERCOT_natural_gas_fired_combustion_turbine_1,2017,184.0,.
