resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_short,MW,125.0,125.0,425.0,425.0
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_short,MW,75.0,75.0,300.0,300.0
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_short,MW,734.8,734.8,1469.6,1469.6
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,2.2245662,2.2245662,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,1.076403,1.076403,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,2.9062881,2.9062881,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,0.6458418,0.6458418,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,1.1481632,1.1481632,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,0.5023213999999999,0.5023213999999999,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,0.9328826,0.9328826,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,0.5023213999999999,0.5023213999999999,,
BASN_biomass_1,BASN,Other,SWITCH,2030,base_short,MW,0.4664412999999999,0.4664412999999999,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short,MW,0.4664412999999999,0.4664412999999999,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short,MW,1.1122831,1.1122831,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short,MW,0.358801,0.358801,,
BASN_biomass_2,BASN,Other,SWITCH,2030,base_short,MW,3.6597702,3.6597702,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,10.1,10.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,392.4,392.4,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,130.0,130.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,260.0,260.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,127.0,127.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,97.1,97.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,71.4,71.4,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,20.0,20.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,92.0,92.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,132.3,132.3,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,409.2,409.2,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,120.1,120.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,130.0,130.0,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,101.2,101.2,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,50.6,50.6,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,60.900000000000006,60.900000000000006,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,241.7,241.7,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,48.7,48.7,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,36.9,36.9,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,34.5,34.5,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,0.1,0.1,,
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short,MW,0.1,0.1,,
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_short,MW,450.0,450.0,,
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_short,MW,459.0,459.0,,
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_short,MW,446.0,446.0,,
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_short,MW,446.0,446.0,,
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_short,MW,471.0,471.0,,
