model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_CANO,2040,26z-short-current-policies_w10_h168_1680w,MW,100,100
USENSYS,BASN_to_CASO,2040,26z-short-current-policies_w10_h168_1680w,MW,5920,5920
USENSYS,BASN_to_NWPP,2040,26z-short-current-policies_w10_h168_1680w,MW,3350,3350
USENSYS,BASN_to_RMRG,2040,26z-short-current-policies_w10_h168_1680w,MW,3750,3750
USENSYS,BASN_to_SRSG,2040,26z-short-current-policies_w10_h168_1680w,MW,5385,5385
USENSYS,CANO_to_CASO,2040,26z-short-current-policies_w10_h168_1680w,MW,3675,3675
USENSYS,CANO_to_NWPP,2040,26z-short-current-policies_w10_h168_1680w,MW,3675,3675
USENSYS,CASO_to_NWPP,2040,26z-short-current-policies_w10_h168_1680w,MW,2858,2858
USENSYS,CASO_to_SRSG,2040,26z-short-current-policies_w10_h168_1680w,MW,4354,4354
USENSYS,FRCC_to_SRSE,2040,26z-short-current-policies_w10_h168_1680w,MW,3600,3600
USENSYS,ISNE_to_NYCW,2040,26z-short-current-policies_w10_h168_1680w,MW,760,760
USENSYS,ISNE_to_NYUP,2040,26z-short-current-policies_w10_h168_1680w,MW,13347,18588
USENSYS,MISC_to_MISS,2040,26z-short-current-policies_w10_h168_1680w,MW,1039,1039
USENSYS,MISC_to_MISW,2040,26z-short-current-policies_w10_h168_1680w,MW,1655,1655
USENSYS,MISC_to_PJMC,2040,26z-short-current-policies_w10_h168_1680w,MW,5244,5244
USENSYS,MISC_to_PJMW,2040,26z-short-current-policies_w10_h168_1680w,MW,5441,5441
USENSYS,MISC_to_SPPC,2040,26z-short-current-policies_w10_h168_1680w,MW,1430,2320
USENSYS,MISC_to_SPPS,2040,26z-short-current-policies_w10_h168_1680w,MW,1172,1172
USENSYS,MISC_to_SRCE,2040,26z-short-current-policies_w10_h168_1680w,MW,3745,3745
USENSYS,MISE_to_PJMW,2040,26z-short-current-policies_w10_h168_1680w,MW,2662,2662
USENSYS,MISS_to_SPPS,2040,26z-short-current-policies_w10_h168_1680w,MW,1697,1697
USENSYS,MISS_to_SRCE,2040,26z-short-current-policies_w10_h168_1680w,MW,4092,4092
USENSYS,MISS_to_SRSE,2040,26z-short-current-policies_w10_h168_1680w,MW,891,891
USENSYS,MISW_to_NWPP,2040,26z-short-current-policies_w10_h168_1680w,MW,200,200
USENSYS,MISW_to_PJMC,2040,26z-short-current-policies_w10_h168_1680w,MW,3200,3200
USENSYS,MISW_to_SPPN,2040,26z-short-current-policies_w10_h168_1680w,MW,5512,5512
USENSYS,NWPP_to_RMRG,2040,26z-short-current-policies_w10_h168_1680w,MW,400,400
USENSYS,NYCW_to_NYUP,2040,26z-short-current-policies_w10_h168_1680w,MW,4538,4537
USENSYS,NYCW_to_PJME,2040,26z-short-current-policies_w10_h168_1680w,MW,2748,4743
USENSYS,NYUP_to_PJME,2040,26z-short-current-policies_w10_h168_1680w,MW,1556,6276
USENSYS,PJMC_to_PJMW,2040,26z-short-current-policies_w10_h168_1680w,MW,980,980
USENSYS,PJMD_to_PJME,2040,26z-short-current-policies_w10_h168_1680w,MW,1200,11242
USENSYS,PJMD_to_PJMW,2040,26z-short-current-policies_w10_h168_1680w,MW,6930,6930
USENSYS,PJMD_to_SRCA,2040,26z-short-current-policies_w10_h168_1680w,MW,1000,1000
USENSYS,PJME_to_PJMW,2040,26z-short-current-policies_w10_h168_1680w,MW,3885,3885
USENSYS,PJMW_to_SRCA,2040,26z-short-current-policies_w10_h168_1680w,MW,1219,1219
USENSYS,PJMW_to_SRCE,2040,26z-short-current-policies_w10_h168_1680w,MW,3333,3333
USENSYS,RMRG_to_SPPC,2040,26z-short-current-policies_w10_h168_1680w,MW,210,2755
USENSYS,RMRG_to_SPPN,2040,26z-short-current-policies_w10_h168_1680w,MW,1602,4367
USENSYS,RMRG_to_SRSG,2040,26z-short-current-policies_w10_h168_1680w,MW,614,614
USENSYS,SPPC_to_SPPN,2040,26z-short-current-policies_w10_h168_1680w,MW,2211,3053
USENSYS,SPPC_to_SPPS,2040,26z-short-current-policies_w10_h168_1680w,MW,3372,4047
USENSYS,SPPN_to_SPPS,2040,26z-short-current-policies_w10_h168_1680w,MW,480,4254
USENSYS,SPPS_to_SRSG,2040,26z-short-current-policies_w10_h168_1680w,MW,1010,1010
USENSYS,SPPS_to_TRE,2040,26z-short-current-policies_w10_h168_1680w,MW,600,600
USENSYS,SPPS_to_TRE_WEST,2040,26z-short-current-policies_w10_h168_1680w,MW,10220,10220
USENSYS,SRCA_to_SRCE,2040,26z-short-current-policies_w10_h168_1680w,MW,216,216
USENSYS,SRCA_to_SRSE,2040,26z-short-current-policies_w10_h168_1680w,MW,1400,1400
USENSYS,SRCE_to_SRSE,2040,26z-short-current-policies_w10_h168_1680w,MW,3196,3196
USENSYS,TRE_to_TRE_WEST,2040,26z-short-current-policies_w10_h168_1680w,MW,16529,16529
USENSYS,BASN_to_CANO,2050,26z-short-current-policies_w10_h168_1680w,MW,100,100
USENSYS,BASN_to_CASO,2050,26z-short-current-policies_w10_h168_1680w,MW,5920,5920
USENSYS,BASN_to_NWPP,2050,26z-short-current-policies_w10_h168_1680w,MW,3350,3350
USENSYS,BASN_to_RMRG,2050,26z-short-current-policies_w10_h168_1680w,MW,3750,3750
USENSYS,BASN_to_SRSG,2050,26z-short-current-policies_w10_h168_1680w,MW,5385,5385
USENSYS,CANO_to_CASO,2050,26z-short-current-policies_w10_h168_1680w,MW,3675,3675
USENSYS,CANO_to_NWPP,2050,26z-short-current-policies_w10_h168_1680w,MW,3675,3675
USENSYS,CASO_to_NWPP,2050,26z-short-current-policies_w10_h168_1680w,MW,2858,2858
USENSYS,CASO_to_SRSG,2050,26z-short-current-policies_w10_h168_1680w,MW,4354,4354
USENSYS,FRCC_to_SRSE,2050,26z-short-current-policies_w10_h168_1680w,MW,3600,3600
USENSYS,ISNE_to_NYCW,2050,26z-short-current-policies_w10_h168_1680w,MW,760,760
USENSYS,ISNE_to_NYUP,2050,26z-short-current-policies_w10_h168_1680w,MW,6641,19495
USENSYS,MISC_to_MISS,2050,26z-short-current-policies_w10_h168_1680w,MW,1039,1039
USENSYS,MISC_to_MISW,2050,26z-short-current-policies_w10_h168_1680w,MW,1655,1655
USENSYS,MISC_to_PJMC,2050,26z-short-current-policies_w10_h168_1680w,MW,5244,5244
USENSYS,MISC_to_PJMW,2050,26z-short-current-policies_w10_h168_1680w,MW,5441,5441
USENSYS,MISC_to_SPPC,2050,26z-short-current-policies_w10_h168_1680w,MW,2320,4218
USENSYS,MISC_to_SPPS,2050,26z-short-current-policies_w10_h168_1680w,MW,1172,1172
USENSYS,MISC_to_SRCE,2050,26z-short-current-policies_w10_h168_1680w,MW,3745,3745
USENSYS,MISE_to_PJMW,2050,26z-short-current-policies_w10_h168_1680w,MW,2662,2662
USENSYS,MISS_to_SPPS,2050,26z-short-current-policies_w10_h168_1680w,MW,1697,1978
USENSYS,MISS_to_SRCE,2050,26z-short-current-policies_w10_h168_1680w,MW,4092,4092
USENSYS,MISS_to_SRSE,2050,26z-short-current-policies_w10_h168_1680w,MW,891,891
USENSYS,MISW_to_NWPP,2050,26z-short-current-policies_w10_h168_1680w,MW,200,200
USENSYS,MISW_to_PJMC,2050,26z-short-current-policies_w10_h168_1680w,MW,3200,3200
USENSYS,MISW_to_SPPN,2050,26z-short-current-policies_w10_h168_1680w,MW,5512,5512
USENSYS,NWPP_to_RMRG,2050,26z-short-current-policies_w10_h168_1680w,MW,400,400
USENSYS,NYCW_to_NYUP,2050,26z-short-current-policies_w10_h168_1680w,MW,2489,2489
USENSYS,NYCW_to_PJME,2050,26z-short-current-policies_w10_h168_1680w,MW,2655,11382
USENSYS,NYUP_to_PJME,2050,26z-short-current-policies_w10_h168_1680w,MW,5976,9717
USENSYS,PJMC_to_PJMW,2050,26z-short-current-policies_w10_h168_1680w,MW,980,1879
USENSYS,PJMD_to_PJME,2050,26z-short-current-policies_w10_h168_1680w,MW,11242,11242
USENSYS,PJMD_to_PJMW,2050,26z-short-current-policies_w10_h168_1680w,MW,6930,6930
USENSYS,PJMD_to_SRCA,2050,26z-short-current-policies_w10_h168_1680w,MW,1000,1165
USENSYS,PJME_to_PJMW,2050,26z-short-current-policies_w10_h168_1680w,MW,3885,10406
USENSYS,PJMW_to_SRCA,2050,26z-short-current-policies_w10_h168_1680w,MW,1219,1219
USENSYS,PJMW_to_SRCE,2050,26z-short-current-policies_w10_h168_1680w,MW,3333,3333
USENSYS,RMRG_to_SPPC,2050,26z-short-current-policies_w10_h168_1680w,MW,2755,2755
USENSYS,RMRG_to_SPPN,2050,26z-short-current-policies_w10_h168_1680w,MW,3175,7465
USENSYS,RMRG_to_SRSG,2050,26z-short-current-policies_w10_h168_1680w,MW,614,614
USENSYS,SPPC_to_SPPN,2050,26z-short-current-policies_w10_h168_1680w,MW,2275,2275
USENSYS,SPPC_to_SPPS,2050,26z-short-current-policies_w10_h168_1680w,MW,4047,4047
USENSYS,SPPN_to_SPPS,2050,26z-short-current-policies_w10_h168_1680w,MW,3774,3774
USENSYS,SPPS_to_SRSG,2050,26z-short-current-policies_w10_h168_1680w,MW,1010,1010
USENSYS,SPPS_to_TRE,2050,26z-short-current-policies_w10_h168_1680w,MW,600,7645
USENSYS,SPPS_to_TRE_WEST,2050,26z-short-current-policies_w10_h168_1680w,MW,220,220
USENSYS,SRCA_to_SRCE,2050,26z-short-current-policies_w10_h168_1680w,MW,216,216
USENSYS,SRCA_to_SRSE,2050,26z-short-current-policies_w10_h168_1680w,MW,1400,1400
USENSYS,SRCE_to_SRSE,2050,26z-short-current-policies_w10_h168_1680w,MW,3196,3196
USENSYS,TRE_to_TRE_WEST,2050,26z-short-current-policies_w10_h168_1680w,MW,16529,16529
