model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,2443
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,9223
USENSYS,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1367
USENSYS,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1189
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,3586
USENSYS,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,776
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1452
USENSYS,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,5597
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,917
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,608
USENSYS,CANO,CANO_landbasedwind_class3_moderate_2,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,418
USENSYS,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1463
USENSYS,CANO,CANO_utilitypv_class1_moderate_0,Solar,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,7045
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,4991
USENSYS,CASO,CASO_landbasedwind_class3_moderate_0,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,534
USENSYS,CASO,CASO_landbasedwind_class3_moderate_1,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,163
USENSYS,CASO,CASO_landbasedwind_class3_moderate_2,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,4
USENSYS,CASO,CASO_landbasedwind_class3_moderate_3,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,122
USENSYS,CASO,CASO_landbasedwind_class3_moderate_5,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,256
USENSYS,CASO,CASO_landbasedwind_class3_moderate_9,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,271
USENSYS,CASO,CASO_naturalgas_ccccsavgcf_conservative_0,CCS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,197
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,9622
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,5978
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_0,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,2720
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,563
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_10,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1161
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_11,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,410
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,783
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,2274
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_4,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1099
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_5,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,690
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_6,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,2148
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_7,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1619
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_8,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,305
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_9,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,2472
USENSYS,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,9433
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,11243
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_1,Solar,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,14350
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,2535
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_1,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,678
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_11,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,99
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_14,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,73
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_2,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,5208
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,1615
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_4,Wind,2030,26z-short-base-200-tx-200_w10_h168_1680w_myopic,MW,0,4120
