model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2030,base_short_no_ccs,all,MWh,665611.0456889778
GenX,BASN,BASN_battery_moderate_0,Battery,2030,base_short_no_ccs,all,MWh,2.856720750096945
GenX,BASN,BASN_biomass_1,Biomass,2030,base_short_no_ccs,all,MWh,162489.59999999913
GenX,BASN,BASN_biomass_2,Biomass,2030,base_short_no_ccs,all,MWh,87360.0
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,7108982.70348629
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_short_no_ccs,all,MWh,0.4520764880417456
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2030,base_short_no_ccs,all,MWh,0.3585422539014256
GenX,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_short_no_ccs,all,MWh,2629809.081552776
GenX,BASN,BASN_geothermal_1,Geothermal,2030,base_short_no_ccs,all,MWh,3549072.715099087
GenX,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.2831493363077079
GenX,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.1416280941454492
GenX,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,base_short_no_ccs,all,MWh,13659974.188100088
GenX,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_short_no_ccs,all,MWh,40729833.5853612
GenX,BASN,BASN_landbasedwind_class3_moderate_10,Wind,2030,base_short_no_ccs,all,MWh,14.605676189122006
GenX,BASN,BASN_landbasedwind_class3_moderate_11,Wind,2030,base_short_no_ccs,all,MWh,11.908586383881303
GenX,BASN,BASN_landbasedwind_class3_moderate_12,Wind,2030,base_short_no_ccs,all,MWh,7.250623987812511
GenX,BASN,BASN_landbasedwind_class3_moderate_13,Wind,2030,base_short_no_ccs,all,MWh,6734934.368336005
GenX,BASN,BASN_landbasedwind_class3_moderate_14,Wind,2030,base_short_no_ccs,all,MWh,5.100865535201772
GenX,BASN,BASN_landbasedwind_class3_moderate_15,Wind,2030,base_short_no_ccs,all,MWh,7.955856579220977
GenX,BASN,BASN_landbasedwind_class3_moderate_16,Wind,2030,base_short_no_ccs,all,MWh,4.479156408488447
GenX,BASN,BASN_landbasedwind_class3_moderate_17,Wind,2030,base_short_no_ccs,all,MWh,39.26912208237764
GenX,BASN,BASN_landbasedwind_class3_moderate_18,Wind,2030,base_short_no_ccs,all,MWh,5.464641223875773
GenX,BASN,BASN_landbasedwind_class3_moderate_19,Wind,2030,base_short_no_ccs,all,MWh,5663656.368568934
GenX,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_short_no_ccs,all,MWh,17983573.63270794
GenX,BASN,BASN_landbasedwind_class3_moderate_20,Wind,2030,base_short_no_ccs,all,MWh,3.5328349624271147
GenX,BASN,BASN_landbasedwind_class3_moderate_21,Wind,2030,base_short_no_ccs,all,MWh,6.397994853058116
GenX,BASN,BASN_landbasedwind_class3_moderate_22,Wind,2030,base_short_no_ccs,all,MWh,3.3837227488344856
GenX,BASN,BASN_landbasedwind_class3_moderate_23,Wind,2030,base_short_no_ccs,all,MWh,24.961495031326027
GenX,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,base_short_no_ccs,all,MWh,32.79380898363138
GenX,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2030,base_short_no_ccs,all,MWh,16.01040117014158
GenX,BASN,BASN_landbasedwind_class3_moderate_5,Wind,2030,base_short_no_ccs,all,MWh,5799936.123649447
GenX,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2030,base_short_no_ccs,all,MWh,14906393.038837938
GenX,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,base_short_no_ccs,all,MWh,4919765.044009921
GenX,BASN,BASN_landbasedwind_class3_moderate_8,Wind,2030,base_short_no_ccs,all,MWh,9.637762796151303
GenX,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,base_short_no_ccs,all,MWh,3193969.180121806
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_no_ccs,all,MWh,3598794.138988318
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_no_ccs,all,MWh,1.1124910246517397
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.5175602144690099
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_no_ccs,all,MWh,0.5718353567411143
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.971394843558932
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.633857424845885
GenX,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,2.433388656503693
GenX,BASN,BASN_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,0.3461066125878892
GenX,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,2030,base_short_no_ccs,all,MWh,1.2434436901562878
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_short_no_ccs,all,MWh,5708761.756611253
GenX,BASN,BASN_petroleum_liquids_1,Other,2030,base_short_no_ccs,all,MWh,0.0645724037115974
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,1547145.600000027
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_short_no_ccs,all,MWh,14137886.400691764
GenX,BASN,BASN_utilitypv_class1_moderate_0,Solar,2030,base_short_no_ccs,all,MWh,5.838475804114947
GenX,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_short_no_ccs,all,MWh,2.7838669116254704
GenX,BASN,BASN_utilitypv_class1_moderate_2,Solar,2030,base_short_no_ccs,all,MWh,2.6619678422511086
GenX,BASN,BASN_utilitypv_class1_moderate_3,Solar,2030,base_short_no_ccs,all,MWh,1.2733855250644643
GenX,BASN,BASN_utilitypv_class1_moderate_4,Solar,2030,base_short_no_ccs,all,MWh,1.831478019970284
GenX,BASN,BASN_utilitypv_class1_moderate_5,Solar,2030,base_short_no_ccs,all,MWh,1.2258839106334685
GenX,BASN,BASN_utilitypv_class1_moderate_6,Solar,2030,base_short_no_ccs,all,MWh,2.084667839545846
GenX,BASN,BASN_utilitypv_class1_moderate_7,Solar,2030,base_short_no_ccs,all,MWh,1.0839804893103198
GenX,BASN,BASN_utilitypv_class1_moderate_8,Solar,2030,base_short_no_ccs,all,MWh,1.6698842803529654
GenX,BASN,BASN_utilitypv_class1_moderate_9,Solar,2030,base_short_no_ccs,all,MWh,1.6277344732164003
GenX,CANO,CANO_batteries_1,Battery,2030,base_short_no_ccs,all,MWh,2382818.385275438
GenX,CANO,CANO_battery_moderate_0,Battery,2030,base_short_no_ccs,all,MWh,2.256812388846946
GenX,CANO,CANO_biomass_1,Biomass,2030,base_short_no_ccs,all,MWh,744307.1999999863
GenX,CANO,CANO_biomass_2,Biomass,2030,base_short_no_ccs,all,MWh,1172371.2000000067
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,10351860.321331965
GenX,CANO,CANO_distributed_generation_1,Distributed Solar,2030,base_short_no_ccs,all,MWh,9400226.026158929
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base_short_no_ccs,all,MWh,3270798.9493911853
GenX,CANO,CANO_hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.3222647786563845
GenX,CANO,CANO_hydrogen_ctavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.1507491706167135
GenX,CANO,CANO_landbasedwind_class3_moderate_0,Wind,2030,base_short_no_ccs,all,MWh,3.1422665178506715
GenX,CANO,CANO_landbasedwind_class3_moderate_1,Wind,2030,base_short_no_ccs,all,MWh,7894656.611119297
GenX,CANO,CANO_landbasedwind_class3_moderate_10,Wind,2030,base_short_no_ccs,all,MWh,3.2877867398168945
GenX,CANO,CANO_landbasedwind_class3_moderate_11,Wind,2030,base_short_no_ccs,all,MWh,15.955542695164764
GenX,CANO,CANO_landbasedwind_class3_moderate_12,Wind,2030,base_short_no_ccs,all,MWh,0.9484566265514788
GenX,CANO,CANO_landbasedwind_class3_moderate_13,Wind,2030,base_short_no_ccs,all,MWh,5.261108301761167
GenX,CANO,CANO_landbasedwind_class3_moderate_14,Wind,2030,base_short_no_ccs,all,MWh,3.2160095756440783
GenX,CANO,CANO_landbasedwind_class3_moderate_15,Wind,2030,base_short_no_ccs,all,MWh,5.112956737876671
GenX,CANO,CANO_landbasedwind_class3_moderate_16,Wind,2030,base_short_no_ccs,all,MWh,6.03526343385351
GenX,CANO,CANO_landbasedwind_class3_moderate_17,Wind,2030,base_short_no_ccs,all,MWh,3.033088479238897
GenX,CANO,CANO_landbasedwind_class3_moderate_18,Wind,2030,base_short_no_ccs,all,MWh,2.7963789135616364
GenX,CANO,CANO_landbasedwind_class3_moderate_19,Wind,2030,base_short_no_ccs,all,MWh,0.75289305200493
GenX,CANO,CANO_landbasedwind_class3_moderate_2,Wind,2030,base_short_no_ccs,all,MWh,4.718282365534472
GenX,CANO,CANO_landbasedwind_class3_moderate_20,Wind,2030,base_short_no_ccs,all,MWh,1.965970452036644
GenX,CANO,CANO_landbasedwind_class3_moderate_21,Wind,2030,base_short_no_ccs,all,MWh,0.6529287760930658
GenX,CANO,CANO_landbasedwind_class3_moderate_22,Wind,2030,base_short_no_ccs,all,MWh,5.049687886903168
GenX,CANO,CANO_landbasedwind_class3_moderate_23,Wind,2030,base_short_no_ccs,all,MWh,1.9522619198938933
GenX,CANO,CANO_landbasedwind_class3_moderate_3,Wind,2030,base_short_no_ccs,all,MWh,4337792.297958012
GenX,CANO,CANO_landbasedwind_class3_moderate_4,Wind,2030,base_short_no_ccs,all,MWh,6.09015974403164
GenX,CANO,CANO_landbasedwind_class3_moderate_5,Wind,2030,base_short_no_ccs,all,MWh,527375.3746242686
GenX,CANO,CANO_landbasedwind_class3_moderate_6,Wind,2030,base_short_no_ccs,all,MWh,1.943534412927195
GenX,CANO,CANO_landbasedwind_class3_moderate_7,Wind,2030,base_short_no_ccs,all,MWh,20.45757701507554
GenX,CANO,CANO_landbasedwind_class3_moderate_8,Wind,2030,base_short_no_ccs,all,MWh,1.2660187794459403
GenX,CANO,CANO_landbasedwind_class3_moderate_9,Wind,2030,base_short_no_ccs,all,MWh,4.3550090008563735
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_no_ccs,all,MWh,89266.6749816688
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_no_ccs,all,MWh,20443406.672497813
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.6175270525949135
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_no_ccs,all,MWh,0.6390883081597079
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,1.0978466916547702
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.738955468877063
GenX,CANO,CANO_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,4.204211671557531
GenX,CANO,CANO_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,0.381277265138759
GenX,CANO,CANO_nuclear_nuclear_moderate_0,Nuclear,2030,base_short_no_ccs,all,MWh,1.6821938255337634
GenX,CANO,CANO_offshorewind_class12_moderate_floating_0_1,Wind,2030,base_short_no_ccs,all,MWh,0.3738735327227481
GenX,CANO,CANO_offshorewind_class12_moderate_floating_0_2,Wind,2030,base_short_no_ccs,all,MWh,0.2719256614040893
GenX,CANO,CANO_offshorewind_class12_moderate_floating_0_3,Wind,2030,base_short_no_ccs,all,MWh,0.339613763038403
GenX,CANO,CANO_offshorewind_class12_moderate_floating_1_1,Wind,2030,base_short_no_ccs,all,MWh,0.4170385665525819
GenX,CANO,CANO_offshorewind_class12_moderate_floating_1_2,Wind,2030,base_short_no_ccs,all,MWh,0.4737918096051931
GenX,CANO,CANO_offshorewind_class12_moderate_floating_1_3,Wind,2030,base_short_no_ccs,all,MWh,0.5110211946931665
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base_short_no_ccs,all,MWh,1610832.7391302737
GenX,CANO,CANO_petroleum_liquids_1,Other,2030,base_short_no_ccs,all,MWh,0.1337605507532284
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,1882608.0
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2030,base_short_no_ccs,all,MWh,11445754.517321078
GenX,CANO,CANO_utilitypv_class1_moderate_0,Solar,2030,base_short_no_ccs,all,MWh,5899263.5408328585
GenX,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,base_short_no_ccs,all,MWh,9883306.16567453
GenX,CANO,CANO_utilitypv_class1_moderate_2,Solar,2030,base_short_no_ccs,all,MWh,4.112002010462022
GenX,CANO,CANO_utilitypv_class1_moderate_3,Solar,2030,base_short_no_ccs,all,MWh,4.165110278466384
GenX,CANO,CANO_utilitypv_class1_moderate_4,Solar,2030,base_short_no_ccs,all,MWh,2.730207726270004
GenX,CANO,CANO_utilitypv_class1_moderate_5,Solar,2030,base_short_no_ccs,all,MWh,2.643875522971708
GenX,CANO,CANO_utilitypv_class1_moderate_6,Solar,2030,base_short_no_ccs,all,MWh,2.0354923530630056
GenX,CANO,CANO_utilitypv_class1_moderate_7,Solar,2030,base_short_no_ccs,all,MWh,1.7508064711113986
GenX,CANO,CANO_utilitypv_class1_moderate_8,Solar,2030,base_short_no_ccs,all,MWh,1.6521419813731306
GenX,CANO,CANO_utilitypv_class1_moderate_9,Solar,2030,base_short_no_ccs,all,MWh,1.6340478243115328
GenX,CASO,CASO_batteries_1,Battery,2030,base_short_no_ccs,all,MWh,10566786.51265119
GenX,CASO,CASO_battery_moderate_0,Battery,2030,base_short_no_ccs,all,MWh,2.4909554170542125
GenX,CASO,CASO_biomass_1,Biomass,2030,base_short_no_ccs,all,MWh,912038.4000000068
GenX,CASO,CASO_biomass_2,Biomass,2030,base_short_no_ccs,all,MWh,220147.2000000033
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,1227973.3765722995
GenX,CASO,CASO_conventional_steam_coal_1,Coal,2030,base_short_no_ccs,all,MWh,0.4481535359668437
GenX,CASO,CASO_distributed_generation_1,Distributed Solar,2030,base_short_no_ccs,all,MWh,14603904.333131876
GenX,CASO,CASO_geothermal_1,Geothermal,2030,base_short_no_ccs,all,MWh,179446.10840551488
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,base_short_no_ccs,all,MWh,3017360.713916141
GenX,CASO,CASO_hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.3121991884347776
GenX,CASO,CASO_hydrogen_ctavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.1456604717803545
GenX,CASO,CASO_landbasedwind_class3_moderate_0,Wind,2030,base_short_no_ccs,all,MWh,6.172071405089305
GenX,CASO,CASO_landbasedwind_class3_moderate_1,Wind,2030,base_short_no_ccs,all,MWh,586110.463320692
GenX,CASO,CASO_landbasedwind_class3_moderate_10,Wind,2030,base_short_no_ccs,all,MWh,2.376669033028095
GenX,CASO,CASO_landbasedwind_class3_moderate_11,Wind,2030,base_short_no_ccs,all,MWh,2.328133368715729
GenX,CASO,CASO_landbasedwind_class3_moderate_12,Wind,2030,base_short_no_ccs,all,MWh,1.962855194435593
GenX,CASO,CASO_landbasedwind_class3_moderate_13,Wind,2030,base_short_no_ccs,all,MWh,2.046487468910481
GenX,CASO,CASO_landbasedwind_class3_moderate_14,Wind,2030,base_short_no_ccs,all,MWh,0.9426217808235424
GenX,CASO,CASO_landbasedwind_class3_moderate_15,Wind,2030,base_short_no_ccs,all,MWh,1.9142170638455591
GenX,CASO,CASO_landbasedwind_class3_moderate_16,Wind,2030,base_short_no_ccs,all,MWh,1.4227709053327495
GenX,CASO,CASO_landbasedwind_class3_moderate_17,Wind,2030,base_short_no_ccs,all,MWh,1.3681523052297604
GenX,CASO,CASO_landbasedwind_class3_moderate_18,Wind,2030,base_short_no_ccs,all,MWh,2.6963528734432427
GenX,CASO,CASO_landbasedwind_class3_moderate_19,Wind,2030,base_short_no_ccs,all,MWh,1.8363047748823056
GenX,CASO,CASO_landbasedwind_class3_moderate_2,Wind,2030,base_short_no_ccs,all,MWh,15277.538733328582
GenX,CASO,CASO_landbasedwind_class3_moderate_20,Wind,2030,base_short_no_ccs,all,MWh,1.4952266118834858
GenX,CASO,CASO_landbasedwind_class3_moderate_21,Wind,2030,base_short_no_ccs,all,MWh,0.9823397310369724
GenX,CASO,CASO_landbasedwind_class3_moderate_22,Wind,2030,base_short_no_ccs,all,MWh,0.2359193752627841
GenX,CASO,CASO_landbasedwind_class3_moderate_23,Wind,2030,base_short_no_ccs,all,MWh,1.2097369378862337
GenX,CASO,CASO_landbasedwind_class3_moderate_3,Wind,2030,base_short_no_ccs,all,MWh,458118.02893393446
GenX,CASO,CASO_landbasedwind_class3_moderate_4,Wind,2030,base_short_no_ccs,all,MWh,4.088804144342972
GenX,CASO,CASO_landbasedwind_class3_moderate_5,Wind,2030,base_short_no_ccs,all,MWh,7.995401757660268
GenX,CASO,CASO_landbasedwind_class3_moderate_6,Wind,2030,base_short_no_ccs,all,MWh,0.9643257537328164
GenX,CASO,CASO_landbasedwind_class3_moderate_7,Wind,2030,base_short_no_ccs,all,MWh,3.777794455482367
GenX,CASO,CASO_landbasedwind_class3_moderate_8,Wind,2030,base_short_no_ccs,all,MWh,3.303485074712891
GenX,CASO,CASO_landbasedwind_class3_moderate_9,Wind,2030,base_short_no_ccs,all,MWh,3.671442579471324
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.8838169173450653
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_no_ccs,all,MWh,12845340.404741742
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.6307454566365622
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_no_ccs,all,MWh,0.8704512760026893
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,1.6007011495749943
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.7620073835619433
GenX,CASO,CASO_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,3.725543223488428
GenX,CASO,CASO_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,0.3823381326756936
GenX,CASO,CASO_nuclear_nuclear_moderate_0,Nuclear,2030,base_short_no_ccs,all,MWh,1.578631687194574
GenX,CASO,CASO_offshorewind_class12_moderate_floating_0_1,Wind,2030,base_short_no_ccs,all,MWh,0.5079003563108587
GenX,CASO,CASO_offshorewind_class12_moderate_floating_0_2,Wind,2030,base_short_no_ccs,all,MWh,0.4136613500546137
GenX,CASO,CASO_offshorewind_class12_moderate_floating_0_3,Wind,2030,base_short_no_ccs,all,MWh,0.3125270950683786
GenX,CASO,CASO_offshorewind_class12_moderate_floating_1_1,Wind,2030,base_short_no_ccs,all,MWh,0.4264212387464476
GenX,CASO,CASO_offshorewind_class12_moderate_floating_1_2,Wind,2030,base_short_no_ccs,all,MWh,0.4065815844528461
GenX,CASO,CASO_offshorewind_class12_moderate_floating_1_3,Wind,2030,base_short_no_ccs,all,MWh,0.3805237013760806
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2030,base_short_no_ccs,all,MWh,12719095.564250838
GenX,CASO,CASO_petroleum_liquids_1,Other,2030,base_short_no_ccs,all,MWh,0.1193546577504056
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,635980.8000000127
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2030,base_short_no_ccs,all,MWh,26190776.63790208
GenX,CASO,CASO_utilitypv_class1_moderate_0,Solar,2030,base_short_no_ccs,all,MWh,19957756.793497328
GenX,CASO,CASO_utilitypv_class1_moderate_1,Solar,2030,base_short_no_ccs,all,MWh,258302.6283439296
GenX,CASO,CASO_utilitypv_class1_moderate_2,Solar,2030,base_short_no_ccs,all,MWh,5.817001518439612
GenX,CASO,CASO_utilitypv_class1_moderate_3,Solar,2030,base_short_no_ccs,all,MWh,5.259084250212605
GenX,CASO,CASO_utilitypv_class1_moderate_4,Solar,2030,base_short_no_ccs,all,MWh,2.88632888097284
GenX,CASO,CASO_utilitypv_class1_moderate_5,Solar,2030,base_short_no_ccs,all,MWh,2.822983085464012
GenX,CASO,CASO_utilitypv_class1_moderate_6,Solar,2030,base_short_no_ccs,all,MWh,2.2668459655788884
GenX,CASO,CASO_utilitypv_class1_moderate_7,Solar,2030,base_short_no_ccs,all,MWh,1.983759602983085
GenX,CASO,CASO_utilitypv_class1_moderate_8,Solar,2030,base_short_no_ccs,all,MWh,1.8678776039692169
GenX,CASO,CASO_utilitypv_class1_moderate_9,Solar,2030,base_short_no_ccs,all,MWh,1.2871192224112438
GenX,FRCC,FRCC_batteries_1,Battery,2030,base_short_no_ccs,all,MWh,446811.2467067452
GenX,FRCC,FRCC_battery_moderate_0,Battery,2030,base_short_no_ccs,all,MWh,4.347460506828957
GenX,FRCC,FRCC_biomass_1,Biomass,2030,base_short_no_ccs,all,MWh,605404.8000000095
GenX,FRCC,FRCC_biomass_2,Biomass,2030,base_short_no_ccs,all,MWh,1050067.1999999874
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2030,base_short_no_ccs,all,MWh,161699.1838786573
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,base_short_no_ccs,all,MWh,0.4682516528395209
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2030,base_short_no_ccs,all,MWh,0.3644757598909618
GenX,FRCC,FRCC_distributed_generation_1,Distributed Solar,2030,base_short_no_ccs,all,MWh,9941491.029507687
GenX,FRCC,FRCC_hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.3475381119260278
GenX,FRCC,FRCC_hydrogen_ctavgcf_moderate_0,Hydrogen,2030,base_short_no_ccs,all,MWh,0.1557670740528333
GenX,FRCC,FRCC_landbasedwind_class3_moderate_0,Wind,2030,base_short_no_ccs,all,MWh,8781378.858582307
GenX,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,2030,base_short_no_ccs,all,MWh,2493380.75895242
GenX,FRCC,FRCC_landbasedwind_class3_moderate_10,Wind,2030,base_short_no_ccs,all,MWh,3382461.036181511
GenX,FRCC,FRCC_landbasedwind_class3_moderate_11,Wind,2030,base_short_no_ccs,all,MWh,1657857.812875542
GenX,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,2030,base_short_no_ccs,all,MWh,2956230.6178383813
GenX,FRCC,FRCC_landbasedwind_class3_moderate_3,Wind,2030,base_short_no_ccs,all,MWh,6809743.554151065
GenX,FRCC,FRCC_landbasedwind_class3_moderate_4,Wind,2030,base_short_no_ccs,all,MWh,5176213.2498584585
GenX,FRCC,FRCC_landbasedwind_class3_moderate_5,Wind,2030,base_short_no_ccs,all,MWh,2828282.6887901407
GenX,FRCC,FRCC_landbasedwind_class3_moderate_6,Wind,2030,base_short_no_ccs,all,MWh,9896707.461429523
GenX,FRCC,FRCC_landbasedwind_class3_moderate_7,Wind,2030,base_short_no_ccs,all,MWh,4870623.360933147
GenX,FRCC,FRCC_landbasedwind_class3_moderate_8,Wind,2030,base_short_no_ccs,all,MWh,1178091.6224538877
GenX,FRCC,FRCC_landbasedwind_class3_moderate_9,Wind,2030,base_short_no_ccs,all,MWh,10833020.444258591
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_short_no_ccs,all,MWh,138905.75499153428
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base_short_no_ccs,all,MWh,58001127.51217026
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,0.5246159048725441
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,base_short_no_ccs,all,MWh,5610.697513178341
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,12317.54559090255
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2030,base_short_no_ccs,all,MWh,7035.759518459458
GenX,FRCC,FRCC_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,8.329703183958173
GenX,FRCC,FRCC_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_short_no_ccs,all,MWh,0.4407683120996957
GenX,FRCC,FRCC_nuclear_1,Nuclear,2030,base_short_no_ccs,all,MWh,27075526.87555317
GenX,FRCC,FRCC_nuclear_nuclear_moderate_0,Nuclear,2030,base_short_no_ccs,all,MWh,2.698785803459849
GenX,FRCC,FRCC_offshorewind_class12_moderate_floating_0_1,Wind,2030,base_short_no_ccs,all,MWh,0.3431177082179779
GenX,FRCC,FRCC_offshorewind_class12_moderate_floating_0_2,Wind,2030,base_short_no_ccs,all,MWh,0.3530615128980874
GenX,FRCC,FRCC_offshorewind_class12_moderate_floating_0_3,Wind,2030,base_short_no_ccs,all,MWh,0.3154736677050123
GenX,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_1,Wind,2030,base_short_no_ccs,all,MWh,0.4938108664035913
GenX,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_2,Wind,2030,base_short_no_ccs,all,MWh,0.4930212462746105
GenX,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_3,Wind,2030,base_short_no_ccs,all,MWh,0.4090459880246888
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2030,base_short_no_ccs,all,MWh,0.1084151508403808
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2030,base_short_no_ccs,all,MWh,15500810.572851991
GenX,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,2030,base_short_no_ccs,all,MWh,34682772.90867001
GenX,FRCC,FRCC_utilitypv_class1_moderate_1,Solar,2030,base_short_no_ccs,all,MWh,29114673.12641368
GenX,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,2030,base_short_no_ccs,all,MWh,5.062203451446585
GenX,FRCC,FRCC_utilitypv_class1_moderate_3,Solar,2030,base_short_no_ccs,all,MWh,6.029952228530951
GenX,FRCC,FRCC_utilitypv_class1_moderate_4,Solar,2030,base_short_no_ccs,all,MWh,2.4834344923998977
GenX,FRCC,FRCC_utilitypv_class1_moderate_5,Solar,2030,base_short_no_ccs,all,MWh,2.887939503671177
GenX,FRCC,FRCC_utilitypv_class1_moderate_6,Solar,2030,base_short_no_ccs,all,MWh,1.3166772966875928
GenX,FRCC,FRCC_utilitypv_class1_moderate_7,Solar,2030,base_short_no_ccs,all,MWh,2.0350068161353625
GenX,FRCC,FRCC_utilitypv_class1_moderate_8,Solar,2030,base_short_no_ccs,all,MWh,1.2030553565380149
