Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,569483.4340501025,936.0,0.0
BASN_biomass_1,1,165984.0,19.0,1.0
BASN_biomass_2,1,87360.0,10.0,1.0
BASN_conventional_hydroelectric_1,1,8.847923299929341e6,2566.0,0.3947044945637256
BASN_conventional_steam_coal_1,1,47.02149663743698,51.0,0.00010553916324929294
BASN_conventional_steam_coal_2,1,102.28860637078041,2949.0,3.9704512103648325e-6
BASN_geothermal_1,1,3.455929006956328e6,433.0,0.9136172496796797
BASN_natural_gas_fired_combined_cycle_1,1,32904.918170517856,1123.0,0.0033540415123954445
BASN_natural_gas_fired_combined_cycle_2,1,6.1513984006692665e6,7114.0,0.09897998170089962
BASN_natural_gas_fired_combustion_turbine_1,1,155.2611029305735,2025.0,8.77657390056604e-6
BASN_natural_gas_fired_combustion_turbine_2,1,147.22991557524512,236.0,7.14120392023097e-5
BASN_natural_gas_internal_combustion_engine_1,1,4531.906308277813,221.0,0.0023473401311667193
BASN_natural_gas_steam_turbine_1,1,83.18316964426877,242.0,3.934662385165439e-5
BASN_onshore_wind_turbine_1,1,4.00041194604859e6,2029.9999999999998,0.22557764180879925
BASN_petroleum_liquids_1,1,14.619169922253356,26.0,6.436306847991229e-5
BASN_small_hydroelectric_1,1,1.546272e6,177.0,1.0
BASN_solar_photovoltaic_1,1,1.6969929963765066e7,7996.0,0.24293754540624632
CANO_batteries_1,2,2.805030812345852e6,2679.0,0.0
CANO_biomass_1,2,1.170624e6,134.0,1.0
CANO_biomass_2,2,663936.0,76.0,1.0
CANO_conventional_hydroelectric_1,2,1.8571276946806654e7,6974.0,0.3048226245824144
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,4.670710384592467e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,375.74645326820274,3113.0,1.3816662330168461e-5
CANO_natural_gas_fired_combined_cycle_2,2,5.106021418888256e6,8297.0,0.07044479616413629
CANO_natural_gas_fired_combustion_turbine_1,2,160.61544623989127,2244.0,8.193167445294251e-6
CANO_natural_gas_fired_combustion_turbine_2,2,165.29549168002725,2428.0,7.792910722584578e-6
CANO_natural_gas_internal_combustion_engine_1,2,227.07586508274736,444.0,5.854305500970081e-5
CANO_natural_gas_steam_turbine_1,2,107.64522920474342,3.0,0.004107342384185876
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.6477311719125216e6,1442.0,0.21018223347270604
CANO_petroleum_liquids_1,2,44.13945877604619,177.0,2.8545727256295264e-5
CANO_small_hydroelectric_1,2,1.886976e6,216.0,1.0
CANO_solar_photovoltaic_1,2,1.4410212481444892e7,6326.0,0.26075255445875034
CASO_batteries_1,3,9.547394506285641e6,8963.0,0.0
CASO_biomass_1,3,995904.0,114.0,1.0
CASO_biomass_2,3,139776.0,16.0,1.0
CASO_conventional_hydroelectric_1,3,2.3073165381908133e6,971.0,0.2720040206971511
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,182673.7850813947,24.0,0.8712691977706936
CASO_hydroelectric_pumped_storage_1,3,3.370864652926821e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,308.4859487569042,2103.0,1.6791267835855032e-5
CASO_natural_gas_fired_combined_cycle_2,3,8.489194144351771e6,7458.0,0.13029611342983116
CASO_natural_gas_fired_combustion_turbine_1,3,176.86664809763232,1865.0,1.0855616284262853e-5
CASO_natural_gas_fired_combustion_turbine_2,3,219.73577773781278,4575.0,5.497902723678736e-6
CASO_natural_gas_internal_combustion_engine_1,3,236.44027827305766,50.0,0.0005413010033723847
CASO_natural_gas_steam_turbine_1,3,120.88008114111179,2.0,0.006918502812563633
CASO_onshore_wind_turbine_1,3,1.3318564880725702e7,3944.0,0.3865519772443125
CASO_petroleum_liquids_1,3,26.256301692327046,14.0,0.0002146806457051858
CASO_small_hydroelectric_1,3,637728.0,73.0,1.0
CASO_solar_photovoltaic_1,3,3.1909210028537717e7,13801.0,0.26466278081770994
FRCC_batteries_1,4,284190.2959180892,555.0,0.0
FRCC_biomass_1,4,471744.0,54.0,1.0
FRCC_biomass_2,4,995904.0,114.0,1.0
FRCC_conventional_hydroelectric_1,4,112707.42816435457,44.0,0.2932157117995405
FRCC_conventional_steam_coal_1,4,140.5043264141532,3109.0,5.173165229202572e-6
FRCC_conventional_steam_coal_2,4,108.51478339685356,674.0,1.842962022777836e-5
FRCC_natural_gas_fired_combined_cycle_1,4,12943.58704300814,2676.0,0.0005536762746513636
FRCC_natural_gas_fired_combined_cycle_2,4,6.553160463388881e7,29925.0,0.25067095636637693
FRCC_natural_gas_fired_combustion_turbine_1,4,196.22574598085484,8544.0,2.6289487736404845e-6
FRCC_natural_gas_fired_combustion_turbine_2,4,210.0025409781922,286.0,8.405158182290154e-5
FRCC_natural_gas_internal_combustion_engine_1,4,548.7878647919646,280.0,0.00022435401327510325
FRCC_natural_gas_steam_turbine_1,4,216.22861201481734,335.0,7.38849065164621e-5
FRCC_nuclear_1,4,2.735325955935427e7,3737.0,0.8378636770889472
FRCC_petroleum_liquids_1,4,49.05921036581444,452.0,1.2424230314853813e-5
FRCC_solar_photovoltaic_1,4,1.64416641282956e7,9463.0,0.1988860427712628
ISNE_batteries_1,5,288819.41620647255,366.0,0.0
ISNE_biomass_1,5,410592.0,47.0,1.0
ISNE_biomass_2,5,926016.0,106.0,1.0
ISNE_conventional_hydroelectric_1,5,2.152109067702223e6,593.0,0.41542914197811137
ISNE_conventional_steam_coal_1,5,97.64635757528778,330.0,3.38711141550421e-5
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,2.8735275907657254e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,418050.52685855847,3363.0,0.014229488284302622
ISNE_natural_gas_fired_combined_cycle_2,5,6.754579134130743e6,10499.0,0.07364406166768568
ISNE_natural_gas_fired_combustion_turbine_1,5,224.45010286330182,414.0,6.205929566348306e-5
ISNE_natural_gas_fired_combustion_turbine_2,5,6122.2253417423935,1360.0,0.000515297193302763
ISNE_natural_gas_internal_combustion_engine_1,5,4393.356171950071,57.0,0.008822850740533367
ISNE_natural_gas_steam_turbine_1,5,1809.4335830949235,21.0,0.009863038456604982
ISNE_nuclear_1,5,2.2971145584300403e7,3348.0,0.7853885754432011
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,2.183084402824035e6,1539.0,0.16237504394474098
ISNE_petroleum_liquids_1,5,42.84989376463921,1043.0,4.702760001773468e-6
ISNE_small_hydroelectric_1,5,2.218944e6,254.0,1.0
ISNE_solar_photovoltaic_1,5,4.1927478236058657e6,2683.0,0.17888150666137395
MISC_batteries_1,6,28030.568877398633,36.0,0.0
MISC_biomass_1,6,672672.0,77.0,1.0
MISC_biomass_2,6,17472.0,2.0,1.0
MISC_conventional_hydroelectric_1,6,1.332987566121043e6,449.0,0.3398342384075527
MISC_conventional_steam_coal_1,6,108.95488460675193,11174.0,1.1161573222902322e-6
MISC_conventional_steam_coal_2,6,81.54632459224055,2597.0,3.5943454669554155e-6
MISC_hydroelectric_pumped_storage_1,6,804482.9978160886,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,878322.4768501065,571.0,0.17607806753504762
MISC_natural_gas_fired_combined_cycle_2,6,8.550423846186532e6,4067.9999999999995,0.24059914169136506
MISC_natural_gas_fired_combustion_turbine_1,6,16152.950108887204,578.0,0.003198978990980171
MISC_natural_gas_fired_combustion_turbine_2,6,173.37375753036923,8951.0,2.2171709477378626e-6
MISC_natural_gas_internal_combustion_engine_1,6,18791.424369243003,73.0,0.029466205606846495
MISC_natural_gas_steam_turbine_1,6,8134.228183941709,201.0,0.004632417231574334
MISC_nuclear_1,6,1.424956346563464e7,2373.0,0.6873709857093192
MISC_onshore_wind_turbine_1,6,1.2563111770617941e7,6437.0,0.223409218359183
MISC_petroleum_liquids_1,6,58.28619347974842,322.0,2.072035522310352e-5
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,6.477064634807577e6,3922.0,0.1890418750224028
MISE_batteries_1,7,1355.3772295132114,1.0,0.0
MISE_biomass_1,7,532896.0,61.0,1.0
MISE_biomass_2,7,506688.0,58.0,1.0
MISE_conventional_hydroelectric_1,7,81027.52590353448,32.0,0.28984777752809665
MISE_conventional_steam_coal_1,7,102.00335421148345,3088.0,3.7811554820608402e-6
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,3.313992906460203e6,2047.0000000000002,0.0
MISE_natural_gas_fired_combined_cycle_1,7,8.409631266129164e6,6017.0,0.15998686083358224
MISE_natural_gas_fired_combined_cycle_2,7,384614.3029821969,744.0,0.059175218442010576
MISE_natural_gas_fired_combustion_turbine_1,7,81096.43167251772,3812.0,0.0024352089312775337
MISE_natural_gas_fired_combustion_turbine_2,7,148.23355523360146,585.0,2.9005344861150532e-5
MISE_natural_gas_internal_combustion_engine_1,7,143.9465758409459,133.0,0.00012389023368943126
MISE_natural_gas_steam_turbine_1,7,2372.4999634211126,9.0,0.030175264085026358
MISE_nuclear_1,7,7.7389375335734915e6,1161.0,0.7630210091848684
MISE_onshore_wind_turbine_1,7,7.354067831324286e6,3706.0,0.2271483523687792
MISE_petroleum_liquids_1,7,44.19474643528358,45.0,0.00011242049866525127
MISE_small_hydroelectric_1,7,104832.0,12.0,1.0
MISE_solar_photovoltaic_1,7,1.9365088668474057e6,1182.0,0.18753804654983924
MISS_batteries_1,8,12026.04967828526,10.0,0.0
MISS_biomass_1,8,52416.0,6.0,1.0
MISS_biomass_2,8,655200.0,75.0,1.0
MISS_conventional_hydroelectric_1,8,1.2125333188342357e6,583.0,0.23807429183124965
MISS_conventional_steam_coal_1,8,89.73304614557952,5094.0,2.0164192967445432e-6
MISS_conventional_steam_coal_2,8,70.45338438265202,1016.9999999999999,7.92991043094455e-6
MISS_natural_gas_fired_combined_cycle_1,8,4.131614428779425e7,17637.0,0.26815286731618576
MISS_natural_gas_fired_combined_cycle_2,8,161.97241852948952,2225.0,8.332943291841045e-6
MISS_natural_gas_fired_combustion_turbine_1,8,148.9752539905063,3314.0,5.145753819630033e-6
MISS_natural_gas_fired_combustion_turbine_2,8,148637.38287875796,1742.0,0.009767136874715993
MISS_natural_gas_internal_combustion_engine_1,8,16715.583486559575,109.0,0.017554255602210796
MISS_natural_gas_steam_turbine_1,8,374.6451761918242,3307.0,1.2968009645423578e-5
MISS_natural_gas_steam_turbine_2,8,130.94922692021902,62.0,0.0002417678920747279
MISS_nuclear_1,8,3.3124909727478627e7,5426.0,0.6988151128157245
MISS_onshore_wind_turbine_1,8,0.0,0.0,0.0
MISS_petroleum_liquids_1,8,31.795671900849268,41.0,8.87710843296292e-5
MISS_small_hydroelectric_1,8,26208.0,3.0,1.0
MISS_solar_photovoltaic_1,8,3.513939910754922e6,2208.0,0.18217242363946504
MISW_batteries_1,9,30362.430336970523,31.0,0.0
MISW_biomass_1,9,576576.0,66.0,1.0
MISW_biomass_2,9,122304.0,14.0,1.0
MISW_conventional_hydroelectric_1,9,266577.86686606903,99.0,0.3082309667948591
MISW_conventional_steam_coal_1,9,113.27888634240169,11897.0,1.0899306957982921e-6
MISW_conventional_steam_coal_2,9,17.835371430448117,260.0,7.852287365476242e-6
MISW_natural_gas_fired_combined_cycle_1,9,1.3311499651678842e6,1477.0,0.10316535203150724
MISW_natural_gas_fired_combined_cycle_2,9,1.8953039569700394e7,7005.0,0.3097120510745267
MISW_natural_gas_fired_combustion_turbine_1,9,182.10443654476262,723.0,2.883165707610147e-5
MISW_natural_gas_fired_combustion_turbine_2,9,125756.74724810001,5582.0,0.0025788663663181667
MISW_natural_gas_fired_combustion_turbine_3,9,60.28956815601054,194.0,3.557360003163267e-5
MISW_natural_gas_internal_combustion_engine_1,9,361740.67011952377,734.0,0.05641422852968389
MISW_natural_gas_steam_turbine_1,9,109.15344781271963,220.0,5.679396010901579e-5
MISW_nuclear_1,9,1.780198916991801e7,2943.0,0.692413688606027
MISW_onshore_wind_turbine_1,9,4.7048340324873045e7,23333.0,0.23081344414061217
MISW_petroleum_liquids_1,9,62.86466568242342,1123.0,6.407877912628496e-6
MISW_small_hydroelectric_1,9,3.88752e6,445.0,1.0
MISW_solar_photovoltaic_1,9,5.105448518050128e6,3132.0,0.18659479389062741
NWPP_batteries_1,10,71245.63082853962,135.0,0.0
NWPP_biomass_1,10,532896.0,61.0,1.0
NWPP_biomass_2,10,541632.0,62.0,1.0
NWPP_conventional_hydroelectric_1,10,1.4741609347949138e8,31532.0,0.5351564386982542
NWPP_conventional_steam_coal_1,10,102.87980205939775,1482.0,7.946379297247507e-6
NWPP_conventional_steam_coal_2,10,48.914077311163965,148.0,3.783201950237288e-5
NWPP_geothermal_1,10,162676.35382309285,22.0,0.8464262499120299
NWPP_hydroelectric_pumped_storage_1,10,541090.2403543631,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,370.1627449531008,2922.0,1.4501064025824553e-5
NWPP_natural_gas_fired_combined_cycle_2,10,1.4685760401774428e6,4016.0,0.041859121440561094
NWPP_natural_gas_fired_combustion_turbine_1,10,142.3722736179468,1018.0,1.6009029953729708e-5
NWPP_natural_gas_fired_combustion_turbine_2,10,79.62055459069278,324.0,2.812985948264764e-5
NWPP_natural_gas_internal_combustion_engine_1,10,266.9879644140672,305.0,0.00010020265283059629
NWPP_natural_gas_steam_turbine_1,10,99.95343859949898,3.0,0.0038138522054143383
NWPP_nuclear_1,10,5.983911298994758e6,1172.0,0.5844466992135987
NWPP_onshore_wind_turbine_1,10,2.205841845802149e7,8695.0,0.29039702275661416
NWPP_petroleum_liquids_1,10,35.6735032678234,21.0,0.00019445263860447953
NWPP_small_hydroelectric_1,10,3.651648e6,418.0,1.0
NWPP_solar_photovoltaic_1,10,2.872112985689817e6,1629.0,0.20182167716279517
NYCW_batteries_1,11,30827.519586769165,24.0,0.0
NYCW_biomass_1,11,0.0,0.0,0.0
NYCW_biomass_2,11,104832.0,12.0,1.0
NYCW_natural_gas_fired_combined_cycle_1,11,2.480906509979095e6,1428.0,0.19887013378902002
NYCW_natural_gas_fired_combined_cycle_2,11,1.7627401465382783e6,2816.0,0.07165442575565215
NYCW_natural_gas_fired_combustion_turbine_1,11,0.0,0.0,0.0
NYCW_natural_gas_fired_combustion_turbine_2,11,292.6319898732341,1057.0,3.1690871890305915e-5
NYCW_natural_gas_fired_combustion_turbine_3,11,50001.1984338561,1020.0,0.005611353340005757
NYCW_natural_gas_internal_combustion_engine_1,11,9475.180776098072,37.0,0.029313869839923252
NYCW_natural_gas_steam_turbine_1,11,107.92262959303757,15.0,0.0008235853906672586
NYCW_petroleum_liquids_1,11,60.1145464553646,384.0,1.79199059135583e-5
NYCW_solar_photovoltaic_1,11,261675.27430490177,158.0,0.18958019942570084
NYUP_batteries_1,12,118369.03279793623,170.0,0.0
NYUP_biomass_1,12,663936.0,76.0,1.0
NYUP_biomass_2,12,419328.0,48.0,1.0
NYUP_conventional_hydroelectric_1,12,1.8331221259985402e7,3443.0,0.6094551501475562
NYUP_hydroelectric_pumped_storage_1,12,1.7755532136628837e6,1405.0,0.0
NYUP_natural_gas_fired_combined_cycle_1,12,42582.0530978184,2282.0,0.002135985655065804
NYUP_natural_gas_fired_combined_cycle_2,12,8.468499947702358e6,5798.0,0.16719206153296431
NYUP_natural_gas_fired_combustion_turbine_1,12,0.0,0.0,0.0
NYUP_natural_gas_fired_combustion_turbine_2,12,3209.5640601291902,58.0,0.006334399196604597
NYUP_natural_gas_internal_combustion_engine_1,12,4888.76880362848,20.0,0.02798059068010806
NYUP_natural_gas_steam_turbine_1,12,2659.137723732366,49.0,0.006212009708203367
NYUP_nuclear_1,12,2.4228499746619403e7,3375.0,0.8217507714902795
NYUP_onshore_wind_turbine_1,12,5.8706145227938555e6,3371.0,0.19934813947156252
NYUP_petroleum_liquids_1,12,47.20778201355891,76.0,7.110291054191807e-5
NYUP_small_hydroelectric_1,12,3.293472e6,377.0,1.0
NYUP_solar_photovoltaic_1,12,2.830172067166331e6,1744.0,0.18576065526377794
PJMC_batteries_1,13,26362.596486864524,40.0,0.0
PJMC_biomass_1,13,78624.0,9.0,1.0
PJMC_biomass_2,13,157248.0,18.0,1.0
PJMC_conventional_hydroelectric_1,13,30456.6370473925,10.0,0.34863366583553684
PJMC_conventional_steam_coal_1,13,83.69607698108621,1538.0,6.2292554567773755e-6
PJMC_conventional_steam_coal_2,13,55.26058318745694,42.0,0.00015060990969893855
PJMC_natural_gas_fired_combined_cycle_1,13,1.5111473275978647e7,4843.0,0.3571738976570033
PJMC_natural_gas_fired_combined_cycle_2,13,119.36897960388788,195.0,7.007195665673892e-5
PJMC_natural_gas_fired_combustion_turbine_1,13,14000.794592952858,103.0,0.015559757851622634
PJMC_natural_gas_fired_combustion_turbine_2,13,26672.852241706558,8562.0,0.00035660022287479045
PJMC_natural_gas_internal_combustion_engine_1,13,64851.46231865631,111.0,0.06687813739425172
PJMC_natural_gas_steam_turbine_1,13,866.658996386182,2.0,0.049602735599025984
PJMC_nuclear_1,13,7.066083538861816e7,10667.0,0.7582699530661361
PJMC_onshore_wind_turbine_1,13,8.720001882128943e6,4456.0,0.22400554614310167
PJMC_petroleum_liquids_1,13,50.24721857065948,55.0,0.00010457712822731326
PJMC_small_hydroelectric_1,13,78624.0,9.0,1.0
PJMC_solar_photovoltaic_1,13,551764.1072839282,344.0,0.18360410120775572
PJMD_batteries_1,14,29116.129077646616,40.0,0.0
PJMD_biomass_1,14,375647.99999999994,43.0,0.9999999999999998
PJMD_biomass_2,14,26208.0,3.0,1.0
PJMD_conventional_hydroelectric_1,14,578833.2348896328,613.0,0.10808871633712197
PJMD_conventional_steam_coal_1,14,0.0,0.0,0.0
PJMD_conventional_steam_coal_2,14,126.17927295913816,881.0,1.6394549483699707e-5
PJMD_hydroelectric_pumped_storage_1,14,4.358793403454583e6,3003.0,0.0
PJMD_natural_gas_fired_combined_cycle_1,14,2.0375152063226897e7,6982.0,0.33404762533056775
PJMD_natural_gas_fired_combined_cycle_2,14,464250.81461791584,730.0,0.07279762133980566
PJMD_natural_gas_fired_combustion_turbine_1,14,166.94943583801114,2261.0,8.452238984562e-6
PJMD_natural_gas_fired_combustion_turbine_2,14,1458.18239840314,60.0,0.00278194138889488
PJMD_natural_gas_fired_combustion_turbine_3,14,340.42661201932606,2240.0,1.7396539157515597e-5
PJMD_natural_gas_internal_combustion_engine_1,14,969.8380179871584,2.0,0.055508128318862086
PJMD_natural_gas_steam_turbine_1,14,4035.6509050540285,20.0,0.02309781882471399
PJMD_nuclear_1,14,2.7379914311955776e7,3708.0,0.8452394014413128
PJMD_onshore_wind_turbine_1,14,0.0,0.0,0.0
PJMD_petroleum_liquids_1,14,43.57863183138229,116.0,4.3003418110733124e-5
PJMD_small_hydroelectric_1,14,34944.0,4.0,1.0
PJMD_solar_photovoltaic_1,14,8.869397574861065e6,4754.0,0.21356118403812502
PJME_batteries_1,15,46250.5581382749,88.0,0.0
PJME_biomass_1,15,672672.0,77.0,1.0
PJME_biomass_2,15,987168.0,113.0,1.0
PJME_conventional_hydroelectric_1,15,2.319251848096445e6,812.0,0.3269484303804377
PJME_conventional_steam_coal_1,15,125.32091469652981,6698.0,2.1417352641850096e-6
PJME_conventional_steam_coal_2,15,90.68151275823449,872.0,1.1903910313938014e-5
PJME_hydroelectric_pumped_storage_1,15,2.6715815390372286e6,1972.0,0.0
PJME_natural_gas_fired_combined_cycle_1,15,1345.9871438324,2768.0,5.566243495093389e-5
PJME_natural_gas_fired_combined_cycle_2,15,7.533008717164342e7,24416.0,0.35316798570112207
PJME_natural_gas_fired_combustion_turbine_1,15,144.30575294128718,1554.0,1.0629675466868497e-5
PJME_natural_gas_fired_combustion_turbine_2,15,274.0421575993301,885.0,3.544553061807109e-5
PJME_natural_gas_fired_combustion_turbine_3,15,283.72569311045504,2774.0,1.1707915613192253e-5
PJME_natural_gas_internal_combustion_engine_1,15,34024.45898664881,265.0,0.014697136544789208
PJME_natural_gas_steam_turbine_1,15,158.50270691953617,90.0,0.00020159583195911702
PJME_nuclear_1,15,9.818136367828748e7,12763.0,0.8805695535734688
PJME_onshore_wind_turbine_1,15,0.0,0.0,0.0
PJME_petroleum_liquids_1,15,43.570767155188406,646.0,7.720582415312249e-6
PJME_small_hydroelectric_1,15,463008.0,53.0,1.0
PJME_solar_photovoltaic_1,15,3.6508848665258223e6,2216.0,0.1885887387083812
PJMW_batteries_1,16,26179.56554931835,32.0,0.0
PJMW_biomass_1,16,183456.0,21.0,1.0
PJMW_biomass_2,16,43680.0,5.0,1.0
PJMW_conventional_hydroelectric_1,16,2.171539076531111e6,833.0,0.29840769776744636
PJMW_conventional_steam_coal_1,16,100.60716074722099,405.0,2.8435524563384942e-5
PJMW_conventional_steam_coal_2,16,115.16411508839987,17147.0,7.688053584726631e-7
PJMW_conventional_steam_coal_3,16,59.08790936437797,145.0,4.664638543985883e-5
PJMW_hydroelectric_pumped_storage_1,16,367639.30144866306,238.0,0.0
PJMW_natural_gas_fired_combined_cycle_1,16,5.895796898647519e7,17706.0,0.38116185255124496
PJMW_natural_gas_fired_combined_cycle_2,16,1.5553397857557472e6,1613.0,0.11037692445053152
PJMW_natural_gas_fired_combustion_turbine_1,16,181.84915510276184,669.0,3.111519624698888e-5
PJMW_natural_gas_fired_combustion_turbine_2,16,182.46422473128334,10924.0,1.9119802829715946e-6
PJMW_natural_gas_fired_combustion_turbine_3,16,0.0,0.0,0.0
PJMW_natural_gas_internal_combustion_engine_1,16,13457.596411357848,83.0,0.01855994915287227
PJMW_natural_gas_steam_turbine_1,16,14953.00970552424,50.0,0.03423308082766539
PJMW_nuclear_1,16,4.4224998050096e7,6326.0,0.8002506019494522
PJMW_onshore_wind_turbine_1,16,9.237204391429741e6,4450.0,0.23761175225927433
PJMW_petroleum_liquids_1,16,73.09326204562441,197.0,4.2471587343592775e-5
PJMW_small_hydroelectric_1,16,1.729728e6,198.0,1.0
PJMW_solar_photovoltaic_1,16,7.339333834982695e6,4144.0,0.2027329174827185
RMRG_batteries_1,17,143323.20948507922,240.0,0.0
RMRG_biomass_1,17,52416.0,6.0,1.0
RMRG_biomass_2,17,34944.0,4.0,1.0
RMRG_conventional_hydroelectric_1,17,1.7116507804502388e6,707.0,0.27712973296376875
RMRG_conventional_steam_coal_1,17,97.37631424022514,5150.0,2.164379828590658e-6
RMRG_conventional_steam_coal_2,17,90.4866454075057,1100.0,9.416275953994518e-6
RMRG_hydroelectric_pumped_storage_1,17,1.1425702373909408e6,581.0,0.0
RMRG_natural_gas_fired_combined_cycle_1,17,192256.57405512736,1606.0,0.013703232701596874
RMRG_natural_gas_fired_combined_cycle_2,17,1.6689720170842477e6,1931.0,0.09893595630551222
RMRG_natural_gas_fired_combustion_turbine_1,17,101.41974130316672,222.0,5.229460640405174e-5
RMRG_natural_gas_fired_combustion_turbine_2,17,146.84849573373597,2835.0,5.929305310617865e-6
RMRG_natural_gas_internal_combustion_engine_1,17,53258.41604139466,243.0,0.025088190978060913
RMRG_natural_gas_steam_turbine_1,17,0.0,0.0,0.0
RMRG_onshore_wind_turbine_1,17,2.8066490578499682e7,11455.0,0.28046611140523275
RMRG_petroleum_liquids_1,17,30.224867748516505,18.0,0.0001922114605496827
RMRG_small_hydroelectric_1,17,882336.0000000001,101.0,1.0000000000000002
RMRG_solar_photovoltaic_1,17,4.5082135474930275e6,2310.0,0.22339830543925457
SPPC_batteries_1,18,1545.7014128398505,1.0,0.0
SPPC_biomass_1,18,26208.0,3.0,1.0
SPPC_biomass_2,18,78624.0,9.0,1.0
SPPC_conventional_hydroelectric_1,18,54434.798940258035,52.0,0.11982864658235162
SPPC_conventional_steam_coal_1,18,110.13233769017764,1996.0,6.315993805959999e-6
SPPC_conventional_steam_coal_2,18,87.4811334941484,5017.0,1.9959868474236222e-6
SPPC_natural_gas_fired_combined_cycle_1,18,2.6405922767530545e6,1469.0,0.2057628314807186
SPPC_natural_gas_fired_combined_cycle_2,18,59765.49165761288,313.0,0.021857150046231115
SPPC_natural_gas_fired_combustion_turbine_1,18,140.2079960302305,3095.0,5.1856058465381406e-6
SPPC_natural_gas_fired_combustion_turbine_2,18,60.47018035535104,196.0,3.5316086119920764e-5
SPPC_natural_gas_fired_combustion_turbine_3,18,163.76169021391246,389.0,4.818924093133294e-5
SPPC_natural_gas_internal_combustion_engine_1,18,184.50301451637154,415.0,5.089120617535293e-5
SPPC_natural_gas_steam_turbine_1,18,388.2775023345885,10.0,0.0044445684791047215
SPPC_nuclear_1,18,6.516182402008548e6,1255.0,0.5943426296652718
SPPC_onshore_wind_turbine_1,18,1.6364249480183382e7,8380.0,0.22353186824365123
SPPC_petroleum_liquids_1,18,54.59647627824482,175.0,3.5711980820411317e-5
SPPC_small_hydroelectric_1,18,0.0,0.0,0.0
SPPC_solar_photovoltaic_1,18,112064.05674321976,102.0,0.1257631894428506
SPPN_batteries_1,19,7201.555536333678,5.0,0.0
SPPN_biomass_1,19,61152.0,7.0,1.0
SPPN_biomass_2,19,139776.0,16.0,1.0
SPPN_conventional_hydroelectric_1,19,9.493020596365029e6,2510.0,0.4329303936436046
SPPN_conventional_steam_coal_1,19,93.02544278504645,4289.0,2.482750478507248e-6
SPPN_conventional_steam_coal_2,19,74.56065647242761,727.0,1.1739853755779749e-5
SPPN_natural_gas_fired_combined_cycle_1,19,386977.43485833326,300.0,0.14765622514435792
SPPN_natural_gas_fired_combined_cycle_2,19,138667.1039320074,345.0,0.04600888674284898
SPPN_natural_gas_fired_combustion_turbine_1,19,136.88525667489162,323.0,4.8511145182984196e-5
SPPN_natural_gas_fired_combustion_turbine_2,19,52103.70151102415,2094.0,0.0028482576631287454
SPPN_natural_gas_internal_combustion_engine_1,19,100444.59247237621,396.0,0.029034794046340295
SPPN_natural_gas_steam_turbine_1,19,1908.126489716118,8.0,0.027302634067595553
SPPN_nuclear_1,19,3.994497070478048e6,770.0,0.5938253815348414
SPPN_onshore_wind_turbine_1,19,1.7645651402249884e7,7510.0,0.2689584126270267
SPPN_petroleum_liquids_1,19,48.89793871901108,60.0,9.328819200055533e-5
SPPN_small_hydroelectric_1,19,541632.0,62.0,1.0
SPPN_solar_photovoltaic_1,19,157167.08502775754,126.0,0.14278363297626093
SPPS_batteries_1,20,167813.06833716438,222.0,0.0
SPPS_biomass_1,20,17472.0,2.0,1.0
SPPS_biomass_2,20,104832.0,12.0,1.0
SPPS_conventional_hydroelectric_1,20,2.562236013291626e6,2016.0,0.1454842494755569
SPPS_conventional_steam_coal_1,20,99.23627276397767,4269.0,2.6609190577219548e-6
SPPS_conventional_steam_coal_2,20,61.95802318660869,2455.0,2.8889061339742045e-6
SPPS_hydroelectric_pumped_storage_1,20,922664.3843392587,474.0,0.0
SPPS_natural_gas_fired_combined_cycle_1,20,636785.8112089932,2425.0,0.0300586180284446
SPPS_natural_gas_fired_combined_cycle_2,20,2.0133118315547273e7,6888.0,0.33458408707868664
SPPS_natural_gas_fired_combustion_turbine_1,20,5073.925009491195,332.0,0.0017494169705922573
SPPS_natural_gas_fired_combustion_turbine_2,20,195.89005962972774,3385.0,6.624316894107262e-6
SPPS_natural_gas_fired_combustion_turbine_3,20,67.13113923342297,14.0,0.0005488875198965118
SPPS_natural_gas_internal_combustion_engine_1,20,27530.28930995805,461.0,0.006835923982234743
SPPS_natural_gas_steam_turbine_1,20,13196.174291785983,524.0,0.0028827310811335174
SPPS_onshore_wind_turbine_1,20,4.82376569746889e7,19179.0,0.28790394799161784
