model,line_name,planning_year,case,unit,value
SWITCH,BASN_to_NWPP,2030,base_short_no_ccs,MW,0.0
SWITCH,BASN_to_CANO,2030,base_short_no_ccs,MW,0.0
SWITCH,BASN_to_SRSG,2030,base_short_no_ccs,MW,0.0
SWITCH,BASN_to_CASO,2030,base_short_no_ccs,MW,0.0
SWITCH,NWPP_to_SPPN,2030,base_short_no_ccs,MW,1921.9635555384864
SWITCH,NWPP_to_CANO,2030,base_short_no_ccs,MW,1725.5088849170843
SWITCH,NWPP_to_CASO,2030,base_short_no_ccs,MW,3550.708158095609
SWITCH,NWPP_to_MISW,2030,base_short_no_ccs,MW,0.0
SWITCH,NYCW_to_ISNE,2030,base_short_no_ccs,MW,200.23351443868944
SWITCH,NYUP_to_NYCW,2030,base_short_no_ccs,MW,2815.5060100398377
SWITCH,NYUP_to_ISNE,2030,base_short_no_ccs,MW,1470.157902969676
SWITCH,PJMC_to_PJMW,2030,base_short_no_ccs,MW,5208.57505413917
SWITCH,PJMC_to_MISC,2030,base_short_no_ccs,MW,0.0
SWITCH,PJMD_to_PJME,2030,base_short_no_ccs,MW,5273.552345371387
SWITCH,PJMD_to_PJMW,2030,base_short_no_ccs,MW,0.0
SWITCH,PJME_to_NYCW,2030,base_short_no_ccs,MW,4763.545543245976
SWITCH,PJME_to_NYUP,2030,base_short_no_ccs,MW,1190.9542902041676
SWITCH,PJMW_to_PJME,2030,base_short_no_ccs,MW,63.141303414537106
SWITCH,PJMW_to_SRCE,2030,base_short_no_ccs,MW,0.0
SWITCH,RMRG_to_BASN,2030,base_short_no_ccs,MW,0.0
SWITCH,RMRG_to_NWPP,2030,base_short_no_ccs,MW,4696.815977430372
SWITCH,RMRG_to_SPPC,2030,base_short_no_ccs,MW,12031.495970407172
SWITCH,RMRG_to_SPPN,2030,base_short_no_ccs,MW,4042.662282184081
SWITCH,RMRG_to_SRSG,2030,base_short_no_ccs,MW,3738.8726080712177
SWITCH,SPPC_to_SPPS,2030,base_short_no_ccs,MW,772.0316247929204
SWITCH,SPPC_to_MISS,2030,base_short_no_ccs,MW,767.9832060347501
SWITCH,SPPN_to_SPPC,2030,base_short_no_ccs,MW,737.7226164050717
SWITCH,SPPN_to_SPPS,2030,base_short_no_ccs,MW,6319.148792582538
SWITCH,CANO_to_CASO,2030,base_short_no_ccs,MW,0.0
SWITCH,SPPS_to_SRSG,2030,base_short_no_ccs,MW,2001.311965117828
SWITCH,SPPS_to_MISS,2030,base_short_no_ccs,MW,32147.392098863384
SWITCH,SRCA_to_PJMD,2030,base_short_no_ccs,MW,0.0
SWITCH,SRCA_to_PJMW,2030,base_short_no_ccs,MW,0.0
SWITCH,SRCA_to_SRCE,2030,base_short_no_ccs,MW,822.5527522668508
SWITCH,SRSE_to_SRCA,2030,base_short_no_ccs,MW,0.0
SWITCH,SRSE_to_SRCE,2030,base_short_no_ccs,MW,0.0
SWITCH,SRSG_to_TRE,2030,base_short_no_ccs,MW,6980.982857560894
SWITCH,TRE_to_SPPS,2030,base_short_no_ccs,MW,11386.514326229944
SWITCH,TRE_to_TRE_WEST,2030,base_short_no_ccs,MW,0.0
SWITCH,TRE_WEST_to_SPPS,2030,base_short_no_ccs,MW,18992.05958067404
SWITCH,CASO_to_SRSG,2030,base_short_no_ccs,MW,2301.2800304471493
SWITCH,FRCC_to_SRSE,2030,base_short_no_ccs,MW,1992.130225146483
SWITCH,MISC_to_PJMW,2030,base_short_no_ccs,MW,7487.093381970311
SWITCH,MISC_to_SPPC,2030,base_short_no_ccs,MW,8219.732817717377
SWITCH,MISC_to_SPPN,2030,base_short_no_ccs,MW,4302.1105660793855
SWITCH,MISC_to_SPPS,2030,base_short_no_ccs,MW,9436.227152378273
SWITCH,MISC_to_SRCE,2030,base_short_no_ccs,MW,0.0
SWITCH,MISC_to_MISS,2030,base_short_no_ccs,MW,0.0
SWITCH,MISE_to_PJMW,2030,base_short_no_ccs,MW,0.0
SWITCH,MISE_to_MISC,2030,base_short_no_ccs,MW,6365.953044366866
SWITCH,MISS_to_SRCE,2030,base_short_no_ccs,MW,0.0
SWITCH,MISS_to_SRSE,2030,base_short_no_ccs,MW,16822.20114557848
SWITCH,MISW_to_PJMC,2030,base_short_no_ccs,MW,1919.5177303293367
SWITCH,MISW_to_SPPC,2030,base_short_no_ccs,MW,981.1632220859782
SWITCH,MISW_to_SPPN,2030,base_short_no_ccs,MW,0.0
